,Vote,Country,Name,First,Second,Third
125,Captain,South Africa,Hlatshwayo Thulani,Cristiano Ronaldo,Ramos Sergio,Hazard Eden
126,Captain,Spain,Ramos Garcia Sergio,Cristiano Ronaldo,Messi Lionel,Modric Luka
127,Captain,St. Lucia,Poleon Randy,Neymar,Cristiano Ronaldo,Messi Lionel
128,Captain,Sudan,Osman Mohamed Tahir,Cristiano Ronaldo,Carvajal Dani,Aubameyang Pierre-Emerick
129,Captain,Sweden,Granqvist Andreas,Cristiano Ronaldo,Ibrahimovic Zlatan,Buffon Gianluigi
130,Captain,Switzerland,Lichtsteiner Stefan,Cristiano Ronaldo,Ramos Sergio,Buffon Gianluigi
131,Captain,Syria,Alkhatib Firas,Messi Lionel,Neymar,Ramos Sergio
132,Captain,Tahiti,Tehau Alvin,Cristiano Ronaldo,Kanté N'Golo,Messi Lionel
133,Captain,Tajikistan,Fatkhulloev Fatkhuloo,Cristiano Ronaldo,Buffon Gianluigi,Messi Lionel
134,Captain,Tanzania,Samatta Mbwana,Neymar,Kanté N'Golo,Aubameyang Pierre-Emerick
135,Captain,Thailand,Thamsatchanan Kawin,Neuer Manuel,Kroos Toni,Griezmann Antoine
136,Captain,Togo,Adebayor Shéyi,Cristiano Ronaldo,Neymar,Buffon Gianluigi
137,Captain,Tonga,Uhatahi Mark,Messi Lionel,Neymar,Cristiano Ronaldo
138,Captain,Trinidad and Tobago,Bateau Sheldon,Buffon Gianluigi,Kanté N'Golo,Neymar
139,Captain,Tunisia,Mathlouthi Aymen,Cristiano Ronaldo,Neymar,Buffon Gianluigi
140,Captain,Turkey,Belözoglu Emre,Messi Lionel,Cristiano Ronaldo,Buffon Gianluigi
141,Captain,Turkmenistan,Amanov Arslanmyrat,Cristiano Ronaldo,Ibrahimovic Zlatan,Messi Lionel
142,Captain,Uganda,Onyango Denis,Cristiano Ronaldo,Messi Lionel,Neymar
143,Captain,Ukraine,Piatov Andriy,Cristiano Ronaldo,Buffon Gianluigi,Marcelo
144,Captain,Uruguay,Godin Diego,Suárez Luis,Griezmann Antoine,Messi Lionel
145,Captain,USA,Bradley Michael,Cristiano Ronaldo,Ramos Sergio,Messi Lionel
146,Captain,Uzbekistan,Akhmedov Odil,Messi Lionel,Cristiano Ronaldo,Neymar
147,Captain,Venezuela,Rincón Hernández Tomas Eduardo,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
148,Captain,Vietnam,Nguyen Van Quyet,Cristiano Ronaldo,Buffon Gianluigi,Messi Lionel
149,Captain,Zambia,Mweene Kennedy,Cristiano Ronaldo,Kanté N'Golo,Marcelo
150,Captain,Zimbabwe,Musona Knowledge,Cristiano Ronaldo,Messi Lionel,Kroos Toni
151,Coach,Albania,Panucci Christian,Cristiano Ronaldo,Messi Lionel,Neymar
152,Coach,Algeria,Alcaraz Gonzalez Luis Lucas,Neymar,Messi Lionel,Ramos Sergio
153,Coach,American Samoa,Amisone Liatama Jr,Messi Lionel,Cristiano Ronaldo,Neymar
154,Coach,Andorra,Alvarez De Eulate Jesus Luis,Messi Lionel,Cristiano Ronaldo,Buffon Gianluigi
155,Coach,Angola,Bianchi Roberto Luiz Pelliser,Messi Lionel,Neymar,Bonucci Leonardo
156,Coach,Argentina,Sampaoli Jorge,Messi Lionel,Cristiano Ronaldo,Marcelo
157,Coach,Armenia,Petrosyan Artur,Cristiano Ronaldo,Buffon Gianluigi,Neymar
158,Coach,Aruba,Koopman Martin,Messi Lionel,Neymar,Cristiano Ronaldo
159,Coach,Australia,Postecoglou Ange,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
160,Coach,Austria,Koller Marcel,Cristiano Ronaldo,Messi Lionel,Neymar
161,Coach,Azerbaijan,Prosinecki Robert,Messi Lionel,Cristiano Ronaldo,Modric Luka
